Source,Target
EXPE,A. George Battle_72,1
EXPE,Craig Jacobson_63,1
EXPD,Mark Emmert_63,1
ESRX,David Norton_60,1
ESRX,William DeLaney_60,1
ESRX,Frank Mergenthaler_55,1
ESRX,Roderick Palmore_64,1
ESRX,William Roper_67,1
EXR,Roger Porter_69,1
XOM,Angela Braly_54,1
XOM,Michael Boskin_70,1
XOM,Ursula Burns_57,1
XOM,Jay Fishman_63,1
XOM,Henrietta Fore_67,1
XOM,Kenneth Frazier_61,1
XOM,Samuel Palmisano_64,1
XOM,Steven Reinemund_68,1
XOM,William Weldon_67,1
FFIV,Jonathan Chadwick_50,1
FFIV,Stephen Smith_59,1
FB,Sheryl Sandberg_46,1
FB,Susan Desmond-Hellmann_58,1
FB,Marc Andreessen_44,1
FB,Erskine Bowles_70,1
FB,Reed Hastings_55,1
FAST,Michael Dolan_69,1
FDX,Alan Graf_62,1
FDX,David Bronczek_61,1
FDX,Michael Ducker_62,1
FDX,T. Michael Glenn_60,1
FDX,James Barksdale_73,1
FDX,John Edwardson_66,1
FDX,John Inglis_,1
FDX,Shirley Jackson_69,1
FDX,R. Brad Martin_64,1
FDX,Joshua Ramo_47,1
FDX,Susan Schwab_61,1
FDX,David Steiner_55,1
FIS,Marianne Brown_57,1
FITB,Jerry Burris_52,1
FITB,Nicholas Akins_55,1
FITB,Gary Heminger_62,1
FITB,Michael McCallister_63,1
FSLR,Sharon Allen_64,1
FE,George Smart_70,1
FE,Robert Heisler_67,1
FE,Julia Johnson_53,1
FE,Ernest Novak_71,1
FISV,Glenn Renwick_60,1
FISV,Doyle Simons_52,1
FLIR,Catherine Halligan_53,1
FLS,William Rusnack_71,1
FLS,Mark Blinn_54,1
FLS,Lynn Elsenhans_59,1
FLS,Joe Harlan_56,1
FLR,David Seaton_54,1
FLR,Peter Oosterveer_58,1
FLR,Peter Fluor_68,1
FLR,Peter Barker_67,1
FLR,Alan Bennett_65,1
FLR,James Hackett_62,1
FLR,Joseph Prueher_73,1
FLR,Matthew Rose_56,1
FMC,Pierre Brondeau_58,1
FTI,Clarence Cazalot_65,1
FTI,Peter Oosterveer_58,1
FTI,James Ringler_70,1
FL,Steven Oakland_55,1
F,Mark Fields_,1
F,Stephen Butler_68,1
F,Kimberly Casiano_58,1
F,Anthony Earley_67,1
F,James Hance_71,1
F,Jon Huntsman_56,1
F,William Kennard_59,1
F,John Lechleiter_62,1
F,Ellen Marram_69,1
FTV,Alan Spoon_64,1
FTV,Patrick Byrne_67,1
FTV,Mitchell Rales_59,1
FBHS,David Thomas_66,1
FBHS,Ann Hackett_62,1
FBHS,Allan Mackay_60,1
FBHS,John Morikis_52,1
FBHS,Norman Wesley_66,1
BEN,Peter Barker_67,1
BEN,Mark Pigott_62,1
BEN,Laura Stein_54,1
BEN,Geoff Yang_,1
FCX,Lydia Kennard_61,1
FCX,Frances Townsend_54,1
FTR,Pamela Reeve_66,1
FTR,Daniel McCarthy_51,1
FTR,Virginia Ruesterholz_54,1
FTR,Mark Shapiro_46,1
GPS,Domenico De Sole_72,1
GPS,Brian Goldner_53,1
GPS,Jorge Montoya_69,1
GPS,Mayo Shattuck_61,1
